100   10   1000                     
0                           
0.007   0.001   0.025   0.034   0.008553 0.2265  0.002446 0.007   0.154   0.01038
2   1   7   0.0236   0.0285   0.0334            
2   1   4   0.0206   0.0255   0.0304            
2   1   3   0.0278   0.0325   0.0372            
2   1   4   0.1619   0.187   0.2121            
2   1   6   0.1799   0.2035   0.2271            
2   1   9   0.5655   0.6163   0.667            
2   1   6   0.583   0.6308   0.6785            
2   1   6   0.8112   0.8645   0.9178            
2   1   6   0.8619   0.9025   0.9431            
2   1   6   0.8619   0.9025   0.9431            
2   2   2   0.0236   0.0285   0.0334            
2   2   2   0.1133   0.1403   0.1672            
2   2   2   0.1619   0.187   0.2121            
2   2   2   0.6213   0.703   0.7847            
2   2   2   0.5287   0.6175   0.7063            
2   2   2   0.8619   0.9025   0.9431            
2   2   2   0.741   0.8075   0.874            
2   2   2   0.7639   0.8265   0.8891            
2   2   2   0.8112   0.8645   0.9178            
2   2   2   0.8619   0.9025   0.9431            
2   3   2   0.0206   0.0255   0.0304            
2   3   5   0.0236   0.0285   0.0334            
2   3   9   0.153   0.1788   0.2045            
2   3   9   0.1799   0.2035   0.2271            
2   3   9   0.1619   0.187   0.2121            
2   3   9   0.5655   0.6163   0.667            
2   3   9   0.6578   0.6888   0.7197            
2   3   9   0.583   0.6308   0.6785            
2   3   9   0.6191   0.6598   0.7004            
2   3   9   0.8619   0.9025   0.9431            
2   4   7   0.0206   0.0255   0.0304            
2   4   1   0.0236   0.0285   0.0334            
2   4   1   0.1619   0.187   0.2121            
2   4   4   0.153   0.1788   0.2045            
2   4   3   0.4742   0.5365   0.5988            
2   4   9   0.6578   0.6888   0.7197            
2   4   4   0.583   0.6308   0.6785            
2   4   4   0.6191   0.6598   0.7004            
2   4   4   0.6578   0.6888   0.7197            
2   4   4   0.5655   0.6163   0.667            
2   5   10   0.0206   0.0255   0.0304            
2   5   7   0.0236   0.0285   0.0334            
2   5   5   0.0294   0.034   0.0386            
2   5   6   0.0278   0.0325   0.0372            
2   5   5   0.0327   0.037   0.0413            
2   5   9   0.5655   0.6163   0.667            
2   5   6   0.583   0.6308   0.6785            
2   5   6   0.8112   0.8645   0.9178            
2   5   6   0.8619   0.9025   0.9431            
2   5   6   0.8619   0.9025   0.9431            
2   6   9   0.0294   0.034   0.0386            
2   6   8   0.0236   0.0285   0.0334            
2   6   1   0.0206   0.0255   0.0304            
